seloger_quartier,code_postal,prop_at_flood_risk
Les Halles,75001,0.06157704171005368
Palais Royal,75001,0.26806556224608835
Saint Germain l'Auxerrois,75001,0.3657421749595691
Seine et Berges,75001,0.39296054064527913
Vendôme,75001,0.6848074015575044
Montorgueil-Saint Denis,75002,0.0
Sentier-Bonne Nouvelle,75002,0.0
Vivienne-Gaillon,75002,0.17190131677687068
Archives,75003,0.0
Arts et Métiers,75003,0.0
Enfants Rouges,75003,0.0
Sainte Avoie,75003,0.016999711078539266
Arsenal,75004,0.40577835687051284
Saint Gervais,75004,0.5125599822354642
Saint Merri,75004,0.3088551146444625
Seine et Berges,75004,0.5974784703534054
Île Saint Louis,75004,0.9990224698929312
Île de la Cité,75004,0.9006206616346533
Jardin des Plantes,75005,0.5356822386801894
Saint Victor,75005,0.36716114639400044
Sorbonne,75005,0.14801416231963083
Val de Grace,75005,0.0
Monnaie,75006,0.5933596812187493
Notre Dame des Champs,75006,0.0
Odéon,75006,0.025799909939964744
Rennes,75006,0.001722973720868388
Saint Germain des Prés,75006,0.8441879492171455
Saint Placide,75006,0.0
Ecole Militaire,75007,0.0
Gros Caillou,75007,0.4673376876263712
Invalides,75007,0.32703997304992594
Saint Thomas d'Aquin,75007,0.3303519230975163
Seine et Berges,75007,0.5500663425689013
Elysées-Madeleine,75008,0.46196970725607545
Europe,75008,0.08999455812356898
Hoche-Friedland,75008,0.0
Mairie,75008,0.2437943366978088
Parc Monceau,75008,0.040371269081872475
Saint Philippe du Roule,75008,0.32642668464374786
Triangle d'Or,75008,0.38816875541361057
Clichy-Trinité,75009,0.031613726491506615
Lafayette-Richer,75009,0.03432380291318151
Lorette-Martyrs,75009,0.0
Provence Opéra,75009,0.5838309845325087
Trudaine-Maubeuge,75009,0.0
Chateau d'Eau-Lancry,75010,0.0
Faubourg du Temple-Hôpital Saint Louis,75010,0.0
Grange Aux Belles-Terrage,75010,0.0
Louis Blanc-Aqueduc,75010,0.0
Porte Saint Denis-Paradis,75010,0.0
Saint Vincent de Paul-Lariboisière,75010,0.0
Bastille-Popincourt,75011,0.6954181271116163
Belleville-Saint Maur,75011,0.0
Léon-Blum Folie-Regnault,75011,0.009605947275146166
Nation-Alexandre Dumas,75011,0.03169126657279987
République-Saint Ambroise,75011,0.0
Aligre-Gare de Lyon,75012,0.7404279298401287
Bel-Air Nord,75012,0.0
Bel-Air Sud,75012,0.0
Bercy,75012,0.5539576316854463
Bois de Vincennes,75012,0.036680009822623406
Jardin de Reuilly,75012,0.3401432576326762
Nation-Picpus,75012,0.000695968951122225
Seine et Berges,75012,0.4262481521598602
Vallée de Fécamp,75012,0.006188895226121045
Bièvres Sud Tolbiac,75013,0.0
Buttes Aux Cailles-Glacière,75013,0.0
Croulebarbe,75013,0.0
Dunois-Bibliothèque-Jeanne-d'Arc,75013,0.4748014627022174
Nationale-Deux Moulins,75013,0.0
Olympiades-Choisy,75013,0.0
Patay-Masséna,75013,0.4671925032236365
Salpêtrière-Austerlitz,75013,0.20524577550114342
Didot-Porte de Vanves,75014,0.0
Jean Moulin-Porte d'Orléans,75014,0.0
Montsouris Dareau,75014,0.0
Mouton Duvernet,75014,0.0
Pernety,75014,0.0
Raspail-Montparnasse,75014,0.0
Alleray Procession,75015,0.0
Cambronne-Garibaldi,75015,0.005032451366208387
Citroën-Boucicaut,75015,0.8076653797941639
Dupleix-Motte Picquet,75015,0.6730821517787461
Emeriau-Zola,75015,0.9245541369045819
Georges Brassens,75015,0.0
Pasteur Montparnasse,75015,0.0
Saint Lambert,75015,0.4532709363386177
Seine et Berges,75015,0.43202595552640644
Vaugirard-Parc des Expositions,75015,0.4882028383579925
Violet Commerce,75015,0.8907670277770635
Auteuil Nord,75016,0.3560151832710843
Auteuil Sud,75016,0.25148908111284873
Bois de Boulogne,75016,0.0815986063124655
Chaillot,75016,0.20605980993133105
Muette Nord,75016,0.07404503889964058
Muette Sud,75016,0.2815375005937467
Porte Dauphine,75016,0.0
Batignolles-Cardinet,75017,0.0
Champerret-Berthier,75017,0.015976336473013233
Clichy-Batignolles,75017,0.03305353865856852
Courcelles-Wagram,75017,0.0
Epinettes-Bessières,75017,0.004921942510143108
La Fourche-Guy Môquet,75017,0.0
Legendre-Lévis,75017,0.0
Pereire-Malesherbes,75017,0.09010085382981249
Ternes-Maillot,75017,0.0
Amiraux-Simplon-Poissonniers,75018,0.0
Charles-Hermite-Evangile,75018,0.0
Clignancourt-Jules Joffrin,75018,0.0
Goutte d'Or-Château Rouge,75018,0.0
Grandes Carrières-Clichy,75018,0.0
La Chapelle-Marx Dormoy,75018,0.0
Montmartre,75018,0.0
Moskowa-Porte Montmartre-Porte de Clignancourt,75018,0.0
Bas Belleville,75019,0.0
Bassin de la Villette,75019,0.0
Buttes Chaumont,75019,0.0
Danube-Porte des Lilas,75019,0.0
Flandre-Aubervilliers,75019,0.0
Manin-Jaurès,75019,0.0
Place des Fêtes,75019,0.0
Pont de Flandre,75019,0.0
Secrétan,75019,0.0
Amandiers,75020,0.0
Belleville,75020,0.0
Gambetta,75020,0.0
Plaine,75020,0.0
Père Lachaise-Réunion,75020,0.0
Saint Blaise,75020,0.0
Télégraphe-Pelleport Saint Fargeau,75020,0.0
